StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev,Geolocation
IL,Chicago,1714000,17031010100,1714000-17031010100,"4,854",13.7,21.2,20.4,32,71.5,4.5,10.9,4.9,70.5,74.7,54.5,6.2,29.4,23.8,20.3,54.7,10.8,32.8,3,26.3,79.8,13.6,37.1,86.8,13.1,39,3.3,16.2,"(42.02126162060, -87.6698441990)"
IL,Chicago,1714000,17031010201,1714000-17031010201,"6,450",18.6,19.9,20.5,31.3,68.9,4,10.8,4.9,67.7,69.5,50.5,6.4,28,22.1,21.8,50.3,10.8,33.3,3,29.1,78.6,14.4,37.2,85.8,14,39,3.2,18.3,"(42.01600760070, -87.6801485522)"
IL,Chicago,1714000,17031010202,1714000-17031010202,"2,818",16.2,22.9,20.4,34.6,74.4,5.4,10.1,6,70.1,74.5,56.5,6.6,31.2,24.2,19.1,55.6,11.8,36.2,3.3,27.1,78.4,12.5,35.1,86.1,13.4,36.8,3.6,17,"(42.01605033440, -87.6733216276)"
IL,Chicago,1714000,17031010300,1714000-17031010300,"6,236",13.9,23.3,21.2,33.8,74.6,6.1,9.8,6.1,70.2,75.1,59.3,6.4,33.6,25.2,18,59.7,10.5,36.5,3.1,25.1,77,11.8,31.9,85.6,12.5,35.1,3.4,15.4,"(42.01594074010, -87.6665351055)"
IL,Chicago,1714000,17031010400,1714000-17031010400,"5,042",9.8,13.2,25.5,19.3,64,3.3,9.6,3,65.5,65.4,58.7,3.8,35.3,27.4,14.5,65.7,5.5,25.9,1.8,18.2,78.6,12,24.6,83.5,8.1,32.2,1.6,10.8,"(42.00491060650, -87.6591544779)"
IL,Chicago,1714000,17031010501,1714000-17031010501,"4,091",11.6,18.1,22.4,28.5,69.8,4.7,9.5,4.4,68.4,72.2,58.9,4.8,34.1,26.4,16.1,61.1,8.3,31.6,2.6,21.4,79,11.5,30.7,86.4,10.2,35.1,2.6,11.9,"(42.00941174930, -87.6639581245)"
IL,Chicago,1714000,17031010502,1714000-17031010502,"3,101",12,15.8,24.2,24.5,63.9,3.4,9.9,3.6,65.2,66.1,54.1,4.9,30.8,25.6,18.6,57.4,7.4,29,2.3,21.8,79.2,13.4,31.5,85.3,10.6,35.9,2.2,13.5,"(42.00451710900, -87.6633274641)"
IL,Chicago,1714000,17031010503,1714000-17031010503,"2,290",15.2,24,18.9,31.6,77.3,6,10.5,7.9,68.9,67.5,54.1,7.9,28.3,21,18.4,52.2,12.5,37.8,3.8,29.4,74.4,14.1,28.3,79.4,13.9,33.5,4.3,19.8,"(42.00032005320, -87.6631269144)"
IL,Chicago,1714000,17031010600,1714000-17031010600,"6,097",12.1,16.9,24.8,26.2,68.1,4.2,9.4,4,67.1,72.7,59.4,4.6,33.3,27.2,16.9,63.2,7.6,30.7,2.3,20.8,79,11.5,30,86,10,34.6,2.2,11.7,"(42.00627858820, -87.6676833145)"
IL,Chicago,1714000,17031010701,1714000-17031010701,"3,864",15.9,18.8,22.5,27.7,68.9,4.5,9.5,4.5,67.1,74.1,56.3,5.3,32.3,26.8,17.8,59.4,9,32.7,2.6,24.4,77,12,32.1,86.3,11.7,35.2,2.5,13.5,"(42.00914816100, -87.6786203564)"
IL,Chicago,1714000,17031010702,1714000-17031010702,"5,143",21.9,17.5,20.9,27.8,65,3.3,10.2,4.5,64.2,65.3,45.9,6,25.6,21.2,21.8,47.1,10.1,31.8,3,30.2,78,14.9,36.4,85.7,14,38,3,21,"(42.00902000160, -87.6727257202)"
IL,Chicago,1714000,17031020100,1714000-17031020100,"3,965",15.6,21.9,19.2,31.8,73.3,5.1,9.9,5.4,69.8,75.2,54.5,6.2,31.1,25,18.8,55.6,11.1,35.3,3.1,27.7,76.7,12.6,32.7,84.8,13,37.5,3.2,15.6,"(42.01571970430, -87.6871153929)"
IL,Chicago,1714000,17031020200,1714000-17031020200,"6,676",11.3,23.2,18.8,31.4,76.3,6.3,8.8,6.1,70.5,79.2,57.9,6,34.7,27.6,15.3,63.2,10.6,37.7,3,24.3,75.9,10.7,27,83.2,11.6,33.5,3,11.9,"(42.01569025490, -87.6995191190)"
IL,Chicago,1714000,17031020301,1714000-17031020301,"4,750",8.1,27.9,18.5,34.7,81,9.8,8.2,7.8,74.1,83.4,66.1,6,40.1,29.7,11.2,71.9,9.5,39.4,3.3,20.8,75.6,8.5,22.8,84.9,10.5,28.1,3.5,9.3,"(42.00686524020, -87.7051863776)"
IL,Chicago,1714000,17031020302,1714000-17031020302,"4,650",10.5,22.9,20.5,31.8,76.2,6.8,8.7,5.9,70.8,79.1,62.3,5.5,37.4,29,13.6,67.7,9.3,37.3,2.9,21.4,77.2,9.8,27,85.7,10.6,31.4,2.9,10.5,"(42.00854065900, -87.6949634070)"
IL,Chicago,1714000,17031020400,1714000-17031020400,"4,168",12.6,21.3,20.8,30.8,73.2,5.6,9,5.2,69.5,77.3,58.1,5.6,34.5,27.3,16.2,62.5,9.6,35.9,2.8,23.8,77,11,30,85.4,11.5,34.3,2.8,12,"(42.00848693760, -87.6859126542)"
IL,Chicago,1714000,17031020500,1714000-17031020500,"6,214",20.5,22.7,16.4,32.8,73.2,4.9,10.2,6.7,67.5,69.4,47.5,7.7,26.9,20.5,21.8,45.8,13,37.6,3.6,34.1,75,14.4,31.9,81.3,15.4,38.5,4,22.5,"(42.00131290420, -87.6841982374)"
IL,Chicago,1714000,17031020601,1714000-17031020601,"6,353",14.8,21.7,20,29.5,72.5,5.3,9.5,5.9,66.8,72.1,53,6.7,31.7,24.4,19.6,55.5,10.1,36.6,3,27.6,74.5,12.9,28.3,81.6,13,35.4,3.1,16.7,"(42.00087463480, -87.7018024116)"
IL,Chicago,1714000,17031020602,1714000-17031020602,"4,340",16.1,21.7,17.8,30.8,73.9,5.2,8.9,6,67.6,72.7,51.6,6.4,30.7,24.1,17.8,54.5,11.2,37.7,3.1,28.8,74.9,12.2,28.4,81.9,13,35.8,3.2,16.2,"(42.00131561870, -87.6936372815)"
IL,Chicago,1714000,17031020701,1714000-17031020701,"1,704",10.1,23.3,19.4,31.4,76.8,6.9,8.3,5.9,70.9,81.1,61.8,5.6,37.1,29.9,14.2,67.1,10,38.4,2.8,22.5,75.1,9.6,25.1,82.6,10.7,32.1,2.8,9.8,"(41.98689155860, -87.7036896926)"
IL,Chicago,1714000,17031020702,1714000-17031020702,"7,194",15.1,22.1,19,30.5,74.1,5.6,9.2,6.2,68.1,73.5,54.2,6.5,32.1,25.5,18.6,56.4,10.7,37.4,3,28.1,73.9,12.1,26.6,80.4,12.7,35.8,3.1,15.7,"(41.99412567370, -87.7048939664)"
IL,Chicago,1714000,17031020801,1714000-17031020801,"5,458",15.2,20.7,20.6,29.6,72.6,5.3,9.1,5.4,67.7,73.5,55.4,5.8,33.2,26.6,17.5,59.5,9.7,36.6,2.8,25.9,74.5,11.8,27.6,82.2,12,34.8,2.7,13.7,"(41.98680817080, -87.6944148749)"
IL,Chicago,1714000,17031020802,1714000-17031020802,"6,963",15.6,18.2,18.2,29.5,71.2,4.2,8.5,4.8,66.8,68.9,50.2,5.1,30.4,23.6,17,54.5,10.4,36.4,2.8,27.6,76,11.7,27.3,81.8,11.5,36.8,2.6,14.2,"(41.99405924260, -87.6946305995)"
