StateAbbr,PlaceName,PlaceFIPS,tract2010,plctract10,Population2010,Lack of Health Insurance,Arthritis,Binge Drinking,High Blood Pressure,People Taking Medicine for High Blood Pressure,Cancer (Excluding Skin Cancer),Asthma,Coronary Heart Disease,Visits to Doctor for Routine Checkup within the Past Year,Cholesterol Screening,Colon Screening,Chronic Obstructive Pulmonary Disease,Men >= 65 Years up to Date on Core Set of Clinical Preventive Services,Women >= 65 Years up to Date on Core Set of Clinical Preventive Services,Smoking,Visits to Dentist,Diabetes,High Cholesterol,Chronic Kidney Disease,No Leisure-Time Physical Activity,Mammography Use among Women aged 50-74 years,Mental Health Not Good,Obesity,Papanicolaou Smear Use Among Adult Women Aged 21-65 Years,Physical Health Not Good,Sleeping Less Than 7 Hours,Stroke,Teeth Lost Among Adults Aged >= 65 Years,Geolocation
WI,Green Bay,5531000,55009000100,5531000-55009000100,2690,15.9,22.2,25.8,29.8,68.7,4.7,10.2,5.7,67,65.6,60.1,6.9,25.1,24.3,25.1,61.3,9.7,34.6,2.7,26.1,77.9,15.4,36,82.3,13.7,39,3,19.5,"(44.54543503230, -88.0199297015)"
WI,Green Bay,5531000,55009000200,5531000-55009000200,5963,12,25.4,25.5,30.6,73.2,6.5,9.6,6.6,69.8,73.8,65.7,6.9,29.1,26.2,21.3,68,9.6,35,2.9,23.4,78.1,13.3,34.2,84,12.7,36.1,3.2,16.2,"(44.53439998640, -88.0389665381)"
WI,Green Bay,5531000,55009000302,5531000-55009000302,4553,12,26.7,24.3,32.6,75.1,7,9.5,7.1,71.1,74.6,67.1,7.1,29.3,27.4,20,68.8,10.4,36.9,3,23.4,77.9,12.7,33.9,83.4,12.9,35.6,3.4,15.5,"(44.51966414720, -88.0738099018)"
WI,Green Bay,5531000,55009000303,5531000-55009000303,2811,14.5,31.9,20.6,36.4,77.5,7.9,10.4,9.5,71.7,74.3,62.1,9.7,25.6,22.3,23.5,60.6,13.3,39.2,4,30,77.6,14.8,36.6,82.5,16.6,36.8,5,22.7,"(44.53607953320, -88.0640659821)"
WI,Green Bay,5531000,55009000401,5531000-55009000401,4632,14.9,29.5,22.2,34.5,76.1,7.3,10.1,8.7,70.8,73.2,62.4,8.7,26.1,23.1,22.8,62.3,12.3,38.1,3.6,28.2,77.7,14.5,35.8,82.5,15.5,36.7,4.4,20.8,"(44.52694748630, -88.0511528424)"
WI,Green Bay,5531000,55009000402,5531000-55009000402,2343,9,27.7,24.6,32.8,77.3,8.1,8.7,7.2,73,80.8,70.7,6.3,32.4,30.3,16.7,75.5,9.7,37.1,2.9,20.5,78.5,10.7,31.1,84.6,11.4,32.9,3.1,11.8,"(44.51432239650, -88.0628753702)"
WI,Green Bay,5531000,55009000500,5531000-55009000500,2953,12.7,20.9,28.3,27.7,68.2,5.1,9.7,4.9,67.8,69.6,64.7,5.7,29.4,26.6,22,68.7,8,32.5,2.3,21.8,78.7,13.6,33.5,83.9,11.5,37.2,2.5,15.2,"(44.51998703350, -88.0334067807)"
WI,Green Bay,5531000,55009000600,5531000-55009000600,4097,10.5,27.8,24.2,33.4,76.7,7.8,8.9,7.5,71.9,77.6,68.7,6.8,30.5,28.2,18.6,71.5,10.2,37.1,3.1,22.5,78.1,11.7,32.7,84.5,12.3,34.3,3.5,14.2,"(44.50792033410, -88.0536451985)"
WI,Green Bay,5531000,55009000700,5531000-55009000700,4945,14.1,23.9,26.5,29,70.3,5.6,10,6.1,67.9,71.5,62.4,7,27.5,24.6,24,64.8,9.4,33.9,2.7,24.8,77.8,14.5,35.2,83,13.4,37.4,3.1,18.6,"(44.50894467260, -88.0400953159)"
WI,Green Bay,5531000,55009000800,5531000-55009000800,1835,20.8,27.9,20.5,35,72.4,5.7,11.3,8.4,68.2,65.3,54.6,10,21.9,18.8,28.3,50.7,13.7,38.1,3.9,34.1,77,17.9,40.4,82,18.4,40.7,4.9,29.5,"(44.50575590970, -88.0279053387)"
